"Duration (in seconds)","Finished","RecordedDate","ExternalReference","UserLanguage","Q5","Q6","Q1","Q7","Q8","Q9","Q27","Q10","Q24","Q23","Q24_1","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q22_1","Q22_2","Q22_3","Q22_4","Q29_1","Q29_2","Q29_3","Q29_4","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","source","RandomID","Q40 - Parent Topics","Q40 - Topics"
"120","True","2020-06-01 08:54:24",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","2","Yes","INFORMATION TECHNOLOGY","Yes","6-10","1-5","5","6","4","7+","3","4","5","6","5","4","6","7+","3","4","6","5","3","2","4","5+","3","2","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5657",NA,NA
"413","True","2020-06-01 08:54:24",NA,"EN","Tamil Nadu","karur","2","20-29","Male","2","Yes","software analysis","No","6-10","1-5","3","4","5","4","5","6","5","3","3","4","5","4","3","5","5","4",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","2","3","4","3","3","3","4","3","2","4",NA,"1452",NA,NA
"424","True","2020-06-01 08:54:26",NA,"EN","Tamil Nadu","karur","2","20-29","Male","2","Yes","software analysis","No","6-10","1-5","2","3","4","5","4","5","6","5","5","4","5","3","4","5","4","5","4","3","2","3","2","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9715",NA,NA
"82","True","2020-06-01 08:54:43",NA,"EN","Tamil Nadu","erode","2","20-29","Male","0","Yes","sales and manufactuing","Yes","1-5","1-5","2","1","1","1","2","1","2","2","2","1","2","1","1","2","1","2","1","2","2","1","2","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1811",NA,NA
"100","True","2020-06-01 08:54:47",NA,"EN","Tamil Nadu","THENI/HINDU/THENI","0","30-39","Male","1","Yes","DATA ENTRY","Yes","1-5","1-5","2","3","2","1","2","2","1","2","2","2","1","1","2","1","0","2","1","2","3","5+","1","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6586",NA,NA
"287","True","2020-06-01 08:54:49",NA,"EN","Tamil Nadu","Erode","5+","30-39","Male","2","Yes","Marketing","No","1-5","0","5","4","2",NA,"5","1","1","1","4","5","2","1","2","1","1","1","3","3","3","2","3","2","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2562",NA,NA
"90","True","2020-06-01 08:54:49",NA,"EN","Tamil Nadu","Vellore","4","40-49","Female","0","No",NA,"No","0","0","1","2","1","1","6","0","0",NA,"1","2","0","2","6","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","0","0","0","0","1","1","1","0","0","0",NA,"6013",NA,NA
"276","True","2020-06-01 08:54:49",NA,"EN","Tamil Nadu","MDU","2","30-39","Female","2","Yes","EDUCATION","Yes","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","2","1","1","1","1","1","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4841",NA,NA
"325","True","2020-06-01 08:54:59",NA,"EN","Tamil Nadu","MADURAI","3","30-39","Female","0","Yes","BUSINESS","No","0","0","0","1","1","0","2","0","0","0","0","1","1","0","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1","1","0","0","0","0","1",NA,"5353",NA,NA
"116","True","2020-06-01 08:55:02",NA,"EN","Tamil Nadu","CHENNAI","4","30-39","Male","1","Yes","IT","No","6-10","11-15","1","2","1","1","2","0","1","2","3","2","1","3","1","2","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","2","0","0","1","1","0","1","0","1","2",NA,"1373",NA,NA
"307","True","2020-06-01 08:55:03",NA,"EN","Himachal Pradesh","Shimla","5+","30-39","Male","2","Yes","Salaried Private Job","No","1-5","0","1","4","2","2","2","0","0","0","6","3","4","2","3","1","0","0","0","0","1","2","0","0","5+","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3430",NA,NA
"155","True","2020-06-01 08:55:30",NA,"EN","Maharashtra","Pune","1","20-29","Female","0","Yes","Marketer","No","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1781",NA,NA
"244","True","2020-06-01 08:55:44",NA,"EN","Tamil Nadu","Bhavani,Erode district","4","40-49","Male","1","Yes","Isp employee","No","1-5","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1","3","2","1","1","1","1",NA,"8442",NA,NA
"170","True","2020-06-01 08:55:47",NA,"EN","Maharashtra","Pune","2","40-49","Female","0","Yes","Test manager","No","1-5","0","1","2","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8787",NA,NA
"136","True","2020-06-01 08:56:07",NA,"EN","Tamil Nadu","DINDIGUL","5+","30-39","Male","1","Yes","IT MANAGER","Yes","1-5","1-5","4","5","3","3","5","2","4","2","4","6","4","3","2","5","6","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","4","3","3","2","4","4","2","5+","4",NA,"7808",NA,NA
"298","True","2020-06-01 08:56:11",NA,"EN","Tamil Nadu","chennai","4","30-39","Male","2","Yes","information technagy","No","0","0","7+","1","1","3","0","0","0","0","0","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5465",NA,NA
"472","True","2020-06-01 08:56:13",NA,"EN","Tamil Nadu","karur","4","30-39","Female","3","Yes","worker","No","6-10","6-10","3","4","5","6","5","4","5","6","4","5","6","5","4","5","6","5",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","4","4","3","4","3","4","4","3","2","3",NA,"5272",NA,NA
"93","True","2020-06-01 08:56:14",NA,"EN","Chhattisgarh","raipur","1","20-29","Male","0","Yes","teacher","No","0","0","4","5","3","0","1","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6101",NA,NA
"126","True","2020-06-01 08:56:16",NA,"EN","Tamil Nadu","Coimbatore","5+","20-29","Male","0","Yes","Manager","No","1-5","0","5","5","6","4","5","3","5","5","5","4","6","4","6","4","6","5","4","3","4","3","4","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4257",NA,NA
"507","True","2020-06-01 08:56:20",NA,"EN","Tamil Nadu","trichy","4","30-39","Female","1","Yes","worker","No","6-10","1-5","4","5","6","5","4","5","6","5","3","4","5","6","5","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","2","3","4","3","4","2","3","4","4","2",NA,"3065",NA,NA
"149","True","2020-06-01 08:56:35",NA,"EN","Karnataka","Bangalore","1","40-49","Female","1","Yes","Analyst","No","0","0","0","0","0","0","2","0","0","0","2","2","2","1","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"3","3","2","0","0","0","4","3","3","2","2","2",NA,"2187",NA,NA
"197","True","2020-06-01 08:56:35",NA,"EN","Tamil Nadu","Chennai","4","30-39","Male","1","Yes","Medical Rep","No","1-5","0","1","2","1","0","7+","0","0","0","2","3","4","1","7+","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","2","2","3","3","4","3","2","3","3",NA,"6723",NA,NA
"329","True","2020-06-01 08:56:42",NA,"EN","Tamil Nadu","tamilnadu","4","20-29","Male","0","Yes","engineer","No","1-5","11-15","1","5","1","1","1","0","1","1","1","6","1","1","1","0","5","1",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","1","2","1","3","2","0","0","1","1","0",NA,"8842",NA,NA
"279","True","2020-06-01 08:56:46",NA,"EN","Tamil Nadu","Chennai","3","40-49","Male","0","Yes","software tester","No","1-5","0","0","2","1","1","1","0","0","0","0","2","1","1","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1","0","0","0","0","0","1","0","0",NA,"6827",NA,NA
"436","True","2020-06-01 08:56:47",NA,"EN","Tamil Nadu","karur","4","30-39","Male","1","Yes","worker","No","6-10","6-10","3","4","5","6","6","4","4","6","6","5","4","5","6","6","5","4","2","3","4","3","1","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4816",NA,NA
"498","True","2020-06-01 08:56:58",NA,"EN","Tamil Nadu","karur","3","20-29","Male","0","Yes","trichy","No","6-10","6-10","6","5","4","5","5","3","4","6","3","4","5","6","5","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","4","4","3","2","4","3","2","4","3","4",NA,"3657",NA,NA
"203","True","2020-06-01 08:57:09",NA,"EN","Tamil Nadu","MADURAI/HINDU/MADURAI","4","20-29","Male","1","Yes","SYSTERM OPERATOR","No","0","0","1","4","2","1","2","0","0","0","1","5","4","0","1","0","0","0","3","2","0","0","2","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8714",NA,NA
"451","True","2020-06-01 08:57:13",NA,"EN","Telengana","Patancheru","1","30-39","Male","1","No",NA,"Yes","1-5","0","3","2","4","2","2","1","1","3","2","1","2","1","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","3","2","2","4","2","1","1","1","2","4",NA,"9912",NA,NA
"209","True","2020-06-01 08:57:23",NA,"EN","Karnataka","Mysore","2","30-39","Male","0","Yes","IT Engineer","No","1-5","0","0","1","1","0","1","0","0","1","0","2","2","1","2","0","0","2","2","0","0","5+","3","1","1","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1862",NA,NA
"168","True","2020-06-01 08:57:29",NA,"EN","Kerala","TRIVANDRUM","3","30-39","Male","5+","Yes","MARKETING","No","0","0","2","2","2","2","5","2","3","1","2","1","2","2","1","2","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","1","1","1","2","1","1","1","1","1","2",NA,"2476",NA,NA
"135","True","2020-06-01 08:57:32",NA,"EN","Tamil Nadu","madurai/madurai/madurai","4","30-39","Male","1","Yes","software","Yes","6-10","6-10","5","6","5","6","5","6","5","6","5","7+","6","5","6","7+","5","5","3","4","3","3","4","4","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3520",NA,NA
"189","True","2020-06-01 08:57:48",NA,"EN","Kerala","kannur","4","20-29","Male","0","Yes","software developer","Yes","1-5","1-5","2","7+","5","1","6","1","1","3","2","6","6","2","6","1","1","3",NA,NA,NA,NA,NA,NA,NA,NA,"5+","5+","4","3",NA,"4","4","4","5+","0","1","2",NA,"5596",NA,NA
"91","True","2020-06-01 08:58:09",NA,"EN","Tamil Nadu","MAADURAI","3","30-39","Female","0","Yes","IT","No","1-5","1-5","5","6","6","7+","6","5","6","7+","6","6","5","6","5","6","5","5","4","3","4","3","3","4","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2572",NA,NA
"297","True","2020-06-01 08:58:10",NA,"EN","Tamil Nadu","erode","4","20-29","Male","0","Yes","teacher","No","1-5","1-5","2","1","2","5","2","5","4","3","4","2","3","4","3","4","3","3","2",NA,"2","3","2","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2752",NA,NA
"169","True","2020-06-01 08:58:12",NA,"EN","Tamil Nadu","madurai","1","30-39","Female","1","Yes","information technology","Yes","6-10","1-5","5","6","7+","6","5","4","5","6","6","7+","6","5","6","7+","6","5",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","5+","4","4","5+","4","5+","4","3","4","5+",NA,"7754",NA,NA
"757","True","2020-06-01 08:58:14",NA,"EN","Karnataka","Belgaum","1","20-29","Male","1","Yes","Engineer","No","0","0","0","2","1","0","2","0","0","0","0","2","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","0","1","0","0","0","2","0","1","0","0","0",NA,"1782",NA,NA
"152","True","2020-06-01 08:58:43",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","4","Yes","ONLINE JOB","Yes","6-10","11-15","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","5+","4","5+","4","5+","4","5+","4","5+","4",NA,"2904",NA,NA
"118","True","2020-06-01 08:58:43",NA,"EN","Karnataka","Bangalore","1","40-49","Female","1","Yes","ANalyst","No","0","0","0","1","0","0","1","0","0","0","1","1","2","1","1","0","0","0","1","2","1","1","2","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5755",NA,NA
"364","True","2020-06-01 08:58:46",NA,"EN","Andra Pradhesh","Gudlavalleru/Krishna district","4","20-29","Male","0","No",NA,"Yes","1-5","1-5","0","1","1","1","1","0","0","0","1","2","2","2","1","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","1","1","1","1","0","0",NA,"1565",NA,NA
"209","True","2020-06-01 08:58:47",NA,"EN","Kerala","kochi","4","30-39","Male","0","Yes","engineer","No","1-5","0","1","2","2","0","2","0","0","2","1","2","2","1","2","0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","0","0","1","1","0","0","0","0",NA,"8504",NA,NA
"128","True","2020-06-01 08:59:08",NA,"EN","Tamil Nadu","Komarapalayam, Namakkal dist.","4","40-49","Male","2","Yes","IT employee","No","1-5","0","0","1","0","0","0","0","0","0","0","1","1","0","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","1","0","0","0","0","0",NA,"9517",NA,NA
"211","True","2020-06-01 08:59:27",NA,"EN","Tamil Nadu","karur","3","40-49","Female","0","Yes","supervisior","No","0","0","1","1","1","1","1","1","1","1","3","2","3","3","3","2","2","2","1","1","0","1","5+","4","5+","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7334",NA,NA
"166","True","2020-06-01 08:59:33",NA,"EN","Tamil Nadu","madurai","1","30-39","Male","1","Yes","information technology","Yes","6-10","1-5","6","7+","6","5","6","7+","6","5","5","6","7+","6","5","5","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","3","4","5+","4","5+","5+","3","4","5+",NA,"6176",NA,NA
"201","True","2020-06-01 08:59:42",NA,"EN","Tamil Nadu","madurai","3","30-39","Male","0","Yes","farmer","No","1-5","0","5","6","5","5","6","4","7+","5","4","5","5","6","5","5","4","6","3","4","3","5+","3","4","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6824",NA,NA
"26","True","2020-06-01 08:59:56",NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8463",NA,NA
"175","True","2020-06-01 09:00:10",NA,"EN","Tamil Nadu","thirupur","2","30-39","Male","2","Yes","manager","Yes","6-10","6-10","6","4","2","4","5","3","4","3","3","5","3","5","3","2","4","3",NA,NA,NA,NA,NA,NA,NA,NA,"4","2","3","2","4","3","4","2","3","4","2","3",NA,"2559",NA,NA
"143","True","2020-06-01 09:00:18",NA,"EN","Maharashtra","Mumbai","3","30-39","Female","0","Yes","Manager Sales","No","0","16+","1","1","0","0","0","0","0","0","5","4","6","3","4","4","3","3","0","0","1","1","5+","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9963",NA,NA
"426","True","2020-06-01 09:00:59",NA,"EN","Kerala","Trivandrum","2","20-29","Male","0","Yes","Government employee","No","1-5","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6252",NA,NA
"168","True","2020-06-01 09:01:18",NA,"EN","Kerala","Thiruvananthapuram","2","20-29","Male","1","Yes","Advocate","No","1-5","0","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","2","1","0","1","1","1","1","1","1",NA,"8715",NA,NA
"170","True","2020-06-01 09:01:23",NA,"EN","Telengana","HYDERABAD","2","40-49","Male","0","Yes","SELF EMPLOYED","No","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"4744",NA,NA
"95","True","2020-06-01 09:01:26",NA,"EN","Tamil Nadu","karur","3","40-49","Female","0","Yes","supervisior","No","0","0","1","1","1","1","1","1","1","1","3","3","2","3","3","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","3","4","4","4","4","4",NA,"1226",NA,NA
"85","True","2020-06-01 09:01:40",NA,"EN","Kerala","kochin","4","20-29","Female","3","Yes","retailer","No","6-10","1-5","5","6","4","5","6","3","4","5","6","5","3","4","5","6","5","4","4","3","4","3","4","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7968",NA,NA
"255","True","2020-06-01 09:02:05",NA,"EN","Tamil Nadu","Salem","4","20-29","Male","0","Yes","Claims Engineer","No","1-5","0","0","2","1","0","0","0","0","0","0","2","2","1","0","0","0","0","0","1","0","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6395",NA,NA
"115","True","2020-06-01 09:02:06",NA,"EN","Tamil Nadu","Chennai","4","30-39","Female","0","Yes","Team Leader","Yes","6-10","1-5","3","3","3","3","3","3","3","3","5","5","5","4","5","4","5","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3","3","3","3","4","4","4","4","4","4",NA,"8659",NA,NA
"231","True","2020-06-01 09:02:06",NA,"EN","Tamil Nadu","madurai","3","20-29","Male","0","Yes","audit assistant","Yes","1-5","6-10","0","2","2","1","3","2","1","2","0","4","3","2","5","3","1","4","1","3","5+","4","3","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7771",NA,NA
"260","True","2020-06-01 09:03:05",NA,"EN","Karnataka","Bengaluru Urban","4","20-29","Male","1","Yes","Engineer","Yes","6-10","0","1","1","1","1","3","3","1","6","1","1","1","1","2","2","4","6","2","2","5+","5+","2","2","5+","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6863",NA,NA
"250","True","2020-06-01 09:03:11",NA,"EN","Tamil Nadu","madurai","4","20-29","Male","1","Yes","information technology","Yes","1-5","0","1","5","5","4","2","2","2","3","1","5","5","5","4","3","3","2",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","4","1",NA,"2","3","4","3","1","2","1",NA,"3971",NA,NA
"372","True","2020-06-01 09:03:21",NA,"EN","Kerala","KOCHI","4","40-49","Female","0","Yes","Librarian","No","1-5","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1131",NA,NA
"116","True","2020-06-01 09:03:24",NA,"EN","Tamil Nadu","chennai","4","30-39","Male","3","Yes","manager","Yes","6-10","1-5","5","4","5","3","4","5","4","5","3","5","3","4","6","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","2","3","4","3","3","4","3","2","3","4",NA,"4294",NA,NA
"135","True","2020-06-01 09:03:51",NA,"EN","Telengana","HYDERABAD","2","40-49","Male","0","Yes","Self","No","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6083",NA,NA
"136","True","2020-06-01 09:04:05",NA,"EN","Tamil Nadu","erode","2","20-29","Female","0","Yes","whole sales","No","1-5","6-10","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3851",NA,NA
"169","True","2020-06-01 09:04:23",NA,"EN","Tamil Nadu","Chennai","3","30-39","Male","1","Yes","Computers","No","0","0","0","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","5+","5+","2","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3704",NA,NA
"264","True","2020-06-01 09:04:36",NA,"EN","Telengana","Hyderabad","3","40-49","Female","0","Yes","Teaching","No","0","0","0","2","0","1","0","0","0","0","0","2","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"3440",NA,NA
"115","True","2020-06-01 09:04:53",NA,"EN","Tamil Nadu","Madurai","5+","20-29","Male","1","Yes","Sofware Engineer","Yes","1-5","1-5","6","5","4","4","5","4","5","4","5","4","3","4","5","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","2",NA,"4","3","4","3","2",NA,"3","4",NA,"9810",NA,NA
"174","True","2020-06-01 09:05:14",NA,"EN","Kerala","KERALA","4","30-39","Male","2","Yes","MD","Yes","1-5","0","1","4","1","3","6","2","5","0","1","3","0","4","3","4","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","3","0","1","0","3","0","1","0","1","0",NA,"6544",NA,NA
"114","True","2020-06-01 09:05:41",NA,"EN","Tamil Nadu","madurai","1","30-39","Male","1","Yes","information technology","Yes","6-10","1-5","5","6","6","5","6","6","5","7+","6","7+","6","5","6","7+","6","5","4","5+","4","3","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3620",NA,NA
"175","True","2020-06-01 09:05:44",NA,"EN","Maharashtra","mumbai","3","40-49","Male","0","Yes","insurance agent","No","0","0","0","2","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7640",NA,NA
"130","True","2020-06-01 09:07:39",NA,"EN","Tamil Nadu","Madurai","5+","30-39","Male","2","Yes","Computer Service Engineer","Yes","1-5","1-5","6","5","3","4","5","4","5","4","6","5","4","5","6","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","3","4","3","3","4","3","2","3","2","2",NA,"2836",NA,NA
"269","True","2020-06-01 09:08:02",NA,"EN","Tamil Nadu","MADURAI","2","30-39","Male","2","Yes","IT","Yes","6-10","11-15","4","5","4","6","5","5","4","5","4","5","6","5","4","4","5","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","3",NA,"3","2","3","4","3","3","4",NA,"7588",NA,NA
"546","True","2020-06-01 09:08:09",NA,"EN","Tamil Nadu","Salem","5+","30-39","Male","2","Yes","Assistant Sales Manager","Yes","1-5","0","2","3","1","1","4","0","0","1","1","3","0","1","3","0","0","1","3","2","2","3","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3901",NA,NA
"361","True","2020-06-01 09:08:24",NA,"EN","Telengana","HYDERABAD","3","30-39","Male","1","Yes","IT","No","1-5","0","1","4","3","3","4","0","1","2","4","5","4","4","5","4","4","5","2","2","1","2","3","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3564",NA,NA
"221","True","2020-06-01 09:09:13",NA,"EN","Tamil Nadu","MADURAI","4","20-29","Male","0","Yes","DATA ENTRY","Yes","1-5","1-5","2","5","5","2","4","2","1","1","2","2","1","2","1","2","3","1","1","2","1","2","3","3","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9865",NA,NA
"150","True","2020-06-01 09:09:18",NA,"EN","Karnataka","Shivamogga","2","30-39","Male","1","Yes","Account Assistant","No","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"1652",NA,NA
"122","True","2020-06-01 09:10:12",NA,"EN","Telengana","Hyderabad","5+","20-29","Male","2","Yes","Business Analyst","Yes","11-15","1-5","1","2","2","2","2","1","0","2","0","1","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","0","0","0","0","0",NA,"9583",NA,NA
"108","True","2020-06-01 09:11:50",NA,"EN","Tripura","Chennai","4","30-39","Male","1","Yes","Clerk","Yes","11-15","1-5","3","2","2","1","2","1","0","0","2","2","1","1","2","1","0","0","2","2","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1155",NA,NA
"183","True","2020-06-01 09:12:28",NA,"EN","Kerala","kochi","2","30-39","Female","0","No",NA,"No","1-5","0","1","2","1","1","1","0","0","0","1","1","1","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","2","0","0","0","0","0",NA,"1849",NA,NA
"158","True","2020-06-01 09:12:46",NA,"EN","Tamil Nadu","Virudhunagar","4","30-39","Female","1","Yes","Billing Analyst","No","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","1","2","0","0","1","0","1","1",NA,"8242",NA,NA
"217","True","2020-06-01 09:13:05",NA,"EN","Tamil Nadu","salem","5+","30-39","Male","1","No",NA,"No","0","0","1","2","1","2","3","0","0","0","4","5","3","4","5","5","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","0","0","0","0","0","4","3","5+","4","4","2",NA,"4547",NA,NA
"138","True","2020-06-01 09:13:33",NA,"EN","Madhya Pradesh","Indore","4","20-29","Male","0","Yes","Software Engineer","No","1-5","0","0","1","0","0","1","0","0","1","0","2","0","0","3","0","0","1","3","2","0","0","4","3","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4855",NA,NA
"251","True","2020-06-01 09:13:46",NA,"EN","Karnataka","DAKSHINA KANNADA","3","30-39","Female","1","Yes","ENGINEER","Yes","1-5","1-5","0","3","2","0","0","0","0","0","1","4","2","2","0","1","0","0","2","1","1","3","2","1","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4104",NA,NA
"280","True","2020-06-01 09:14:40",NA,"EN","Haryana","Delhi","3","30-39","Female","0","Yes","Software professional","No","0","0","0","1","1","0","2","0","1","0","2","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","1","0","0","0","0","0",NA,"1207",NA,NA
"247","True","2020-06-01 09:14:47",NA,"EN","Tamil Nadu","Madurai","4","50-59","Male","0","Yes","Manager","Yes","0","0","1","2","0","1","0","0","0","1","1","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0","0","1","1","1","1","0","0","1",NA,"9573",NA,NA
